#,נושא,גוון,עוצמה,תיאור,מפתח,BPM,תגיות AI,סטטוס,URL
1,משפחה,חמימות,1,שקט - ערב בבית,G,62,"משפחה, בית, שקט, ערב, חמימות",לא התחיל,
2,משפחה,חמימות,2,חום - ביחד,G,65,"משפחה, ביחד, חום, קרבה",לא התחיל,
3,משפחה,חמימות,3,עוטף - מלא,C,68,"משפחה, עוטף, שלמות, אהבה חמה",לא התחיל,
4,משפחה,חמימות+שמחה,4,חגיגת משפחה,G,78,"משפחה, חגיגה, שמחה, ביחד",לא התחיל,
5,משפחה,ביטרסוויט,1,זיכרון עדין,Am,60,"זיכרון, נוסטלגיה, עדין, ביטרסוויט",לא התחיל,
6,משפחה,ביטרסוויט,2,גדלנו - שינוי,Am,63,"גדילה, שינוי, ביטרסוויט, זמן עובר",לא התחיל,
7,משפחה,ביטרסוויט,3,פרידה עם אהבה,Am,58,"פרידה, אהבה, ביטרסוויט, עצב עם חיוך",לא התחיל,
8,משפחה,ביטרסוויט,4,ילדות שעברה,Dm,55,"ילדות, נוסטלגיה, עבר, עצב מתוק",לא התחיל,
9,משפחה,עצב רך,1,לחיצת יד - דממה,Am,55,"שקט, דממה, נוכחות, תמיכה שקטה",לא התחיל,
10,משפחה,עצב רך,2,חסר - ריחוק,Dm,58,"חסר, ריחוק, געגוע קל, מרחק",לא התחיל,
11,משפחה,עצב רך,3,בכי עדין,Am,52,"בכי, עצב, עדין, ריגוש, דמעות",לא התחיל,
12,משפחה,עצב רך,4,כאב שקט,Dm,50,"כאב, שקט, עצב עמוק אך שקט",לא התחיל,
13,משפחה,ערגה,1,מרחוק - געגוע,Em,58,"גגעוע, מרחוק, רחוק, חסר",לא התחיל,
14,משפחה,ערגה,2,זיכרון מרחף,Am,55,"זיכרון, מרחף, עבר, ערגה",לא התחיל,
15,משפחה,ערגה,3,לא חוזר,Em,52,"לא חוזר, עבר, נוסטלגיה עמוקה",לא התחיל,
16,משפחה,ערגה,4,אהבה שלא נאמרה,Dm,50,"אהבה, לא נאמר, חרטה, ערגה",לא התחיל,
17,משפחה,עמוק/עז,1,כובד - אחריות,C,60,"אחריות, כובד, בגרות, רצינות",לא התחיל,
18,משפחה,עמוק/עז,2,משקל - שורשים,F,58,"שורשים, משקל, מורשת, עמוק",לא התחיל,
19,משפחה,עמוק/עז,3,רגע מכונן,C,65,"רגע מכונן, משמעות, עוצמה, גדול",לא התחיל,
20,משפחה,עמוק/עז,4,עוצמה רגשית מלאה,F,70,"עוצמה, מלא, שיא רגשי, מיתרים",לא התחיל,
21,הישג,גאווה חמה,1,רגע שקט של הצלחה,C,65,"הצלחה, שקט, סיפוק, גאווה עדינה",לא התחיל,
22,הישג,גאווה חמה,2,סיפוק - עשיתי את זה,G,68,"סיפוק, הצלחה, עשיתי, גאווה",לא התחיל,
23,הישג,גאווה חמה,3,ראש מורם - בוטח,D,72,"ביטחון, גאווה, ראש מורם, חזק",לא התחיל,
24,הישג,גאווה חמה,4,רגע מכונן עם מיתרים,D,75,"מיתרים, שיא, גאווה, רגע גדול",לא התחיל,
25,הישג,ביטרסוויט,1,הדרך הייתה קשה,Am,62,"קשה, מסע, מאמץ, ביטרסוויט",לא התחיל,
26,הישג,ביטרסוויט,2,הגעתי אבל משהו נשאר מאחור,Am,60,"הגעתי, השארתי, מחיר, ביטרסוויט",לא התחיל,
27,הישג,ביטרסוויט,3,הצלחה עם מחיר,Dm,58,"מחיר, הצלחה, ויתור, עצב מתוק",לא התחיל,
28,הישג,ביטרסוויט,4,פרק נסגר,Dm,55,"סיום, פרק, סגירה, ביטרסוויט",לא התחיל,
29,הישג,כוח עדין,1,צעד אחר צעד,G,70,"התקדמות, סבלנות, צעד, דרך",לא התחיל,
30,הישג,כוח עדין,2,נחישות שקטה,C,72,"נחישות, שקט, מוקד, כוח פנימי",לא התחיל,
31,הישג,כוח עדין,3,עלייה - התקדמות,G,75,"עלייה, התקדמות, קדימה, אנרגיה",לא התחיל,
32,הישג,כוח עדין,4,פריצת דרך,D,80,"פריצה, דרך, הצלחה, מומנטום",לא התחיל,
33,הישג,ערגה,1,מאיפה התחלתי,Em,60,"התחלה, שורשים, מסע, מאיפה",לא התחיל,
34,הישג,ערגה,2,מי שהייתי לפני,Am,58,"עבר, זהות, שינוי, ערגה",לא התחיל,
35,הישג,ערגה,3,שורשים מול עתיד,Em,55,"שורשים, עתיד, מתח, ערגה",לא התחיל,
36,הישג,ערגה,4,הדרך שעברתי,Am,52,"דרך, עבר, מסע, נוסטלגיה",לא התחיל,
37,הישג,עמוק/עז,1,כובד הרגע,F,63,"כובד, רגע, משמעות, עמוק",לא התחיל,
38,הישג,עמוק/עז,2,שיא של מסע,C,68,"שיא, מסע, עוצמה, גדול",לא התחיל,
39,הישג,עמוק/עז,3,פסגה - תחושת שלמות,D,72,"פסגה, שלמות, שיא, מלא",לא התחיל,
40,הישג,עמוק/עז,4,אורקסטרלי - גדול - מלא,D,78,"אורקסטרה, גדול, מלא, שיא",לא התחיל,
41,אהבה,חמימות,1,קרבה שקטה,G,60,"קרבה, שקט, אינטימי, חמימות",לא התחיל,
42,אהבה,חמימות,2,חברות אמיתית,C,65,"חברות, אמיתי, קשר, חם",לא התחיל,
43,אהבה,חמימות,3,אהבה שמחה - בטוחה,G,70,"אהבה, שמחה, בטוח, חמימות",לא התחיל,
44,אהבה,חמימות,4,מלא - עוטף - שלם,F,68,"מלא, עוטף, שלמות, אהבה",לא התחיל,
45,אהבה,ביטרסוויט,1,אהבה עם מרחק,Am,60,"מרחק, אהבה, ביטרסוויט, געגוע",לא התחיל,
46,אהבה,ביטרסוויט,2,יחסים מורכבים,Am,58,"מורכב, יחסים, ביטרסוויט, עמוק",לא התחיל,
47,אהבה,ביטרסוויט,3,אהבה שנגמרה בטוב,Dm,55,"גמר, אהבה, בטוב, ביטרסוויט",לא התחיל,
48,אהבה,ביטרסוויט,4,נפרדנו אבל אוהב,Dm,52,"פרידה, אהבה, כאב מתוק, ביטרסוויט",לא התחיל,
49,אהבה,עצב רך,1,חסר - ריחוק,Am,58,"חסר, ריחוק, געגוע, עצב עדין",לא התחיל,
50,אהבה,עצב רך,2,לבד אחרי יחד,Dm,55,"לבד, אחרי, ריחוק, עצב",לא התחיל,
51,אהבה,עצב רך,3,אובדן חבר קרוב,Am,52,"אובדן, חבר, כאב, עצב",לא התחיל,
52,אהבה,עצב רך,4,ניתוק כואב,Dm,50,"ניתוק, כאב, עצב עמוק, שבר",לא התחיל,
53,אהבה,ערגה,1,מישהו שחסר,Em,60,"חסר, ערגה, געגוע, אדם",לא התחיל,
54,אהבה,ערגה,2,געגוע לאדם,Am,58,"געגוע, אדם, ערגה, חסר",לא התחיל,
55,אהבה,ערגה,3,אהבה מרחוק,Em,55,"מרחוק, אהבה, ערגה, רחוק",לא התחיל,
56,אהבה,ערגה,4,אי אפשר לחזור,Dm,52,"לא חוזר, ערגה, עבר, אובדן",לא התחיל,
57,אהבה,עמוק/עז,1,קשר עמוק - שורשי,F,62,"קשר, עמוק, שורשי, חזק",לא התחיל,
58,אהבה,עמוק/עז,2,אהבה כבדה - משמעותית,C,65,"אהבה, כבד, משמעות, עמוק",לא התחיל,
59,אהבה,עמוק/עז,3,עוצמת הקשר,F,68,"עוצמה, קשר, כוח, עמוק",לא התחיל,
60,אהבה,עמוק/עז,4,אהבה שמוטטת ובונה,Am,58,"מוטט, בונה, עוצמה, אהבה גדולה",לא התחיל,
61,חגיגה,קלילה,1,חיוך - קלות,G,80,"חיוך, קל, שמח, אווירה",לא התחיל,
62,חגיגה,קלילה,2,כיף - אווירה,G,85,"כיף, אווירה, שמחה, קלילות",לא התחיל,
63,חגיגה,קלילה,3,ריקוד - עליצות,D,90,"ריקוד, עליצות, תנועה, שמחה",לא התחיל,
64,חגיגה,שמחה עזה,1,שמחה מתפרצת,D,88,"שמחה, מתפרצת, עז, אנרגיה",לא התחיל,
65,חגיגה,שמחה עזה,2,הצלחה משותפת,G,92,"הצלחה, ביחד, קבוצה, שמחה",לא התחיל,
66,חגיגה,שמחה עזה,3,אירוע - כולם ביחד,D,96,"אירוע, כולם, ביחד, גדול",לא התחיל,
67,חגיגה,חגיגי+חמים,1,שמחה עם דמעות,C,78,"שמחה, דמעות, ריגוש, חם",לא התחיל,
68,חגיגה,חגיגי+חמים,2,רגע שיא של אירוע,G,82,"שיא, אירוע, מרגש, חם",לא התחיל,
69,חגיגה,חגיגי+חמים,3,חתונה - בר מצווה,C,85,"חתונה, בר מצווה, אירוע גדול, מרגש",לא התחיל,
70,חגיגה,ביטרסוויט,1,סוף פרק - חגיגה עם עצב,Am,72,"סיום, חגיגה, עצב, ביטרסוויט",לא התחיל,
71,חגיגה,ביטרסוויט,2,בוגרים - פרידה מאושרת,C,75,"בוגרים, פרידה, שמחה, עצב",לא התחיל,
72,חגיגה,ביטרסוויט,3,אחרון בסדרה,Am,70,"אחרון, סדרה, סיום, ביטרסוויט",לא התחיל,
73,חגיגה,אנרגטי,1,מרץ - תנועה,A,100,"מרץ, תנועה, אנרגיה, ספורט",לא התחיל,
