#,סט,מס' בסט,מפתח,BPM,כלי,גוון רגשי,תיאור,סטטוס,URL,startOffset
1,1,1,Dm,48,פסנתר סולו,אובדן,דממה אחרי אובדן,לא התחיל,,20
2,1,2,Dm,48,פסנתר סולו,אובדן,כאב שקט,לא התחיל,,20
3,1,3,Dm,48,פסנתר סולו,אובדן,בכי פנימי,לא התחיל,,20
4,1,4,Dm,48,פסנתר סולו,אובדן,שתיקה כבדה,לא התחיל,,20
5,1,5,Dm,48,פסנתר סולו,אובדן,שבר פנימי,לא התחיל,,20
6,1,6,Dm,48,פסנתר סולו,אובדן,ריק מוחלט,לא התחיל,,20
7,1,7,Dm,48,פסנתר סולו,אובדן,קבלה כואבת,לא התחיל,,20
8,1,8,Dm,48,פסנתר סולו,אובדן,כאב שלא עובר,לא התחיל,,20
9,1,9,Dm,48,פסנתר סולו,אובדן,ערגה לאבוד,לא התחיל,,20
10,1,10,Dm,48,פסנתר סולו,אובדן,ניצוץ ראשון של תקווה,לא התחיל,,20
11,2,1,Am,58,פסנתר + צ'לו,מלנכוליה,עצב עדין,לא התחיל,,20
12,2,2,Am,58,פסנתר + צ'לו,מלנכוליה,זיכרון נוסטלגי,לא התחיל,,20
13,2,3,Am,58,פסנתר + צ'לו,מלנכוליה,ערגה עמוקה,לא התחיל,,20
14,2,4,Am,58,פסנתר + צ'לו,מלנכוליה,ביטרסוויט,לא התחיל,,20
15,2,5,Am,58,פסנתר + צ'לו,מלנכוליה,חסר מישהו,לא התחיל,,20
16,2,6,Am,58,פסנתר + צ'לו,מלנכוליה,אבל עדין,לא התחיל,,20
17,2,7,Am,58,פסנתר + צ'לו,מלנכוליה,ריחוק כואב,לא התחיל,,20
18,2,8,Am,58,פסנתר + צ'לו,מלנכוליה,הרהור עצוב,לא התחיל,,20
19,2,9,Am,58,פסנתר + צ'לו,מלנכוליה,קבלה עדינה,לא התחיל,,20
20,2,10,Am,58,פסנתר + צ'לו,מלנכוליה,ערגה רכה,לא התחיל,,20
21,3,1,C,64,פסנתר אקוסטי,תקווה וריפוי,תקווה רכה,לא התחיל,,20
22,3,2,C,64,פסנתר אקוסטי,תקווה וריפוי,ריפוי מתחיל,לא התחיל,,20
23,3,3,C,64,פסנתר אקוסטי,תקווה וריפוי,אהבה עדינה,לא התחיל,,20
24,3,4,C,64,פסנתר אקוסטי,תקווה וריפוי,שקט פנימי,לא התחיל,,20
25,3,5,C,64,פסנתר אקוסטי,תקווה וריפוי,ביטרסוויט חמים,לא התחיל,,20
26,3,6,C,64,פסנתר אקוסטי,תקווה וריפוי,נוסטלגיה חמה,לא התחיל,,20
27,3,7,C,64,פסנתר אקוסטי,תקווה וריפוי,גאווה עדינה,לא התחיל,,20
28,3,8,C,64,פסנתר אקוסטי,תקווה וריפוי,שייכות,לא התחיל,,20
29,3,9,C,64,פסנתר אקוסטי,תקווה וריפוי,משפחה עדינה,לא התחיל,,20
30,3,10,C,64,פסנתר אקוסטי,תקווה וריפוי,שמחה שקטה,לא התחיל,,20
31,4,1,G,70,פסנתר + מיתרים עדינים,חמימות,חמימות ביחד,לא התחיל,,20
32,4,2,G,70,פסנתר + מיתרים עדינים,חמימות,אהבת משפחה,לא התחיל,,20
33,4,3,G,70,פסנתר + מיתרים עדינים,חמימות,שמחה עדינה,לא התחיל,,20
34,4,4,G,70,פסנתר + מיתרים עדינים,חמימות,גאווה חמה,לא התחיל,,20
35,4,5,G,70,פסנתר + מיתרים עדינים,חמימות,נוסטלגיה חמה,לא התחיל,,20
36,4,6,G,70,פסנתר + מיתרים עדינים,חמימות,חגיגה עדינה,לא התחיל,,20
37,4,7,G,70,פסנתר + מיתרים עדינים,חמימות,שייכות בטוחה,לא התחיל,,20
38,4,8,G,70,פסנתר + מיתרים עדינים,חמימות,קשר עמוק,לא התחיל,,20
39,4,9,G,70,פסנתר + מיתרים עדינים,חמימות,ביטרסוויט חמים,לא התחיל,,20
40,4,10,G,70,פסנתר + מיתרים עדינים,חמימות,זיכרון שמח,לא התחיל,,20
41,5,1,D,76,מיתרים,הישג וגאווה,הישג שקט,לא התחיל,,20
42,5,2,D,76,מיתרים,הישג וגאווה,גאווה מתרוממת,לא התחיל,,20
43,5,3,D,76,מיתרים,הישג וגאווה,אבן דרך,לא התחיל,,20
44,5,4,D,76,מיתרים,הישג וגאווה,ניצחון עם תקווה,לא התחיל,,20
45,5,5,D,76,מיתרים,הישג וגאווה,שמחת הצלחה,לא התחיל,,20
46,5,6,D,76,מיתרים,הישג וגאווה,פריצת דרך,לא התחיל,,20
47,5,7,D,76,מיתרים,הישג וגאווה,צמיחה,לא התחיל,,20
48,5,8,D,76,מיתרים,הישג וגאווה,ביטחון שמח,לא התחיל,,20
49,5,9,D,76,מיתרים,הישג וגאווה,ניצחון רגשי,לא התחיל,,20
50,5,10,D,76,מיתרים,הישג וגאווה,הכרת תודה,לא התחיל,,20
51,6,1,G,82,פסנתר + מיתרים,חגיגי,שמחה חגיגית,לא התחיל,,20
52,6,2,G,82,פסנתר + מיתרים,חגיגי,שמחה קהילתית,לא התחיל,,20
53,6,3,G,82,פסנתר + מיתרים,חגיגי,חגיגה ביחד,לא התחיל,,20
54,6,4,G,82,פסנתר + מיתרים,חגיגי,אושר משותף,לא התחיל,,20
55,6,5,G,82,פסנתר + מיתרים,חגיגי,חגיגה חמה,לא התחיל,,20
